Month,NonRecreationVisitors,RecreationVisitors,UnitCode,UnitName,Year
9,21495,408657,ROMO,Rocky Mountain NP,1997
10,10298,211588,ROMO,Rocky Mountain NP,1997
11,9683,65166,ROMO,Rocky Mountain NP,1997
12,10182,58455,ROMO,Rocky Mountain NP,1997
1,6650,64192,ROMO,Rocky Mountain NP,1998
2,7984,61194,ROMO,Rocky Mountain NP,1998
3,7169,70334,ROMO,Rocky Mountain NP,1998
4,5609,67735,ROMO,Rocky Mountain NP,1998
5,13935,198448,ROMO,Rocky Mountain NP,1998
6,18808,453744,ROMO,Rocky Mountain NP,1998
7,26503,683467,ROMO,Rocky Mountain NP,1998
8,35442,636460,ROMO,Rocky Mountain NP,1998
9,20275,445728,ROMO,Rocky Mountain NP,1998
10,13162,227638,ROMO,Rocky Mountain NP,1998
11,7517,69927,ROMO,Rocky Mountain NP,1998
12,11601,56555,ROMO,Rocky Mountain NP,1998
1,12044,60871,ROMO,Rocky Mountain NP,1999
2,11994,74798,ROMO,Rocky Mountain NP,1999
3,9522,87163,ROMO,Rocky Mountain NP,1999
4,2785,58644,ROMO,Rocky Mountain NP,1999
5,12580,187697,ROMO,Rocky Mountain NP,1999
6,13349,471035,ROMO,Rocky Mountain NP,1999
7,37925,739167,ROMO,Rocky Mountain NP,1999
8,22479,644694,ROMO,Rocky Mountain NP,1999
9,24894,466394,ROMO,Rocky Mountain NP,1999
10,10350,228197,ROMO,Rocky Mountain NP,1999
11,8600,94367,ROMO,Rocky Mountain NP,1999
12,13408,73296,ROMO,Rocky Mountain NP,1999
1,11398,67728,ROMO,Rocky Mountain NP,2000
2,11173,74328,ROMO,Rocky Mountain NP,2000
3,9588,83498,ROMO,Rocky Mountain NP,2000
4,14335,82564,ROMO,Rocky Mountain NP,2000
5,12178,211790,ROMO,Rocky Mountain NP,2000
6,24131,483925,ROMO,Rocky Mountain NP,2000
7,39183,735598,ROMO,Rocky Mountain NP,2000
8,27521,597407,ROMO,Rocky Mountain NP,2000
9,11987,448191,ROMO,Rocky Mountain NP,2000
10,11828,242240,ROMO,Rocky Mountain NP,2000
11,10640,85145,ROMO,Rocky Mountain NP,2000
12,10690,72978,ROMO,Rocky Mountain NP,2000
1,15599,62319,ROMO,Rocky Mountain NP,2001
2,13825,66820,ROMO,Rocky Mountain NP,2001
3,8816,73736,ROMO,Rocky Mountain NP,2001
4,7009,82007,ROMO,Rocky Mountain NP,2001
5,3640,198797,ROMO,Rocky Mountain NP,2001
6,21894,499970,ROMO,Rocky Mountain NP,2001
7,40281,749500,ROMO,Rocky Mountain NP,2001
8,27928,616789,ROMO,Rocky Mountain NP,2001
9,12586,463160,ROMO,Rocky Mountain NP,2001
10,6114,184616,ROMO,Rocky Mountain NP,2001
11,9013,81020,ROMO,Rocky Mountain NP,2001
12,11919,60951,ROMO,Rocky Mountain NP,2001
1,14591,64696,ROMO,Rocky Mountain NP,2002
2,9903,62365,ROMO,Rocky Mountain NP,2002
3,11023,78997,ROMO,Rocky Mountain NP,2002
4,6596,72485,ROMO,Rocky Mountain NP,2002
5,14216,228491,ROMO,Rocky Mountain NP,2002
6,16700,491045,ROMO,Rocky Mountain NP,2002
7,17503,653677,ROMO,Rocky Mountain NP,2002
8,18637,598693,ROMO,Rocky Mountain NP,2002
9,13349,428493,ROMO,Rocky Mountain NP,2002
10,10403,183445,ROMO,Rocky Mountain NP,2002
11,9214,57455,ROMO,Rocky Mountain NP,2002
12,7457,68633,ROMO,Rocky Mountain NP,2002
1,31849,61472,ROMO,Rocky Mountain NP,2003
2,6653,48224,ROMO,Rocky Mountain NP,2003
3,7614,63999,ROMO,Rocky Mountain NP,2003
4,3246,69226,ROMO,Rocky Mountain NP,2003
5,18581,198771,ROMO,Rocky Mountain NP,2003
6,17137,457861,ROMO,Rocky Mountain NP,2003
7,17374,678086,ROMO,Rocky Mountain NP,2003
8,24696,626473,ROMO,Rocky Mountain NP,2003
9,17626,465941,ROMO,Rocky Mountain NP,2003
10,15161,262699,ROMO,Rocky Mountain NP,2003
11,9622,69681,ROMO,Rocky Mountain NP,2003
12,12630,64823,ROMO,Rocky Mountain NP,2003
1,15354,57795,ROMO,Rocky Mountain NP,2004
2,10709,58503,ROMO,Rocky Mountain NP,2004
3,6722,79540,ROMO,Rocky Mountain NP,2004
4,6870,62595,ROMO,Rocky Mountain NP,2004
5,10904,179887,ROMO,Rocky Mountain NP,2004
6,15522,421739,ROMO,Rocky Mountain NP,2004
7,24361,633725,ROMO,Rocky Mountain NP,2004
8,14526,561913,ROMO,Rocky Mountain NP,2004
9,29324,407864,ROMO,Rocky Mountain NP,2004
10,12533,200180,ROMO,Rocky Mountain NP,2004
11,9622,52173,ROMO,Rocky Mountain NP,2004
12,12300,65985,ROMO,Rocky Mountain NP,2004
1,15342,60206,ROMO,Rocky Mountain NP,2005
2,12096,61932,ROMO,Rocky Mountain NP,2005
3,9911,60125,ROMO,Rocky Mountain NP,2005
4,7397,60341,ROMO,Rocky Mountain NP,2005
5,11800,178599,ROMO,Rocky Mountain NP,2005
6,24508,417346,ROMO,Rocky Mountain NP,2005
7,30649,658903,ROMO,Rocky Mountain NP,2005
8,24691,556353,ROMO,Rocky Mountain NP,2005
9,20719,406772,ROMO,Rocky Mountain NP,2005
10,9985,199748,ROMO,Rocky Mountain NP,2005
11,5770,79707,ROMO,Rocky Mountain NP,2005
12,9803,58336,ROMO,Rocky Mountain NP,2005
1,9539,55549,ROMO,Rocky Mountain NP,2006
2,6830,51901,ROMO,Rocky Mountain NP,2006
3,9639,59636,ROMO,Rocky Mountain NP,2006
4,6697,73816,ROMO,Rocky Mountain NP,2006
5,16439,187936,ROMO,Rocky Mountain NP,2006
6,22988,451277,ROMO,Rocky Mountain NP,2006
7,35822,641178,ROMO,Rocky Mountain NP,2006
8,20981,516531,ROMO,Rocky Mountain NP,2006
9,21631,412722,ROMO,Rocky Mountain NP,2006
10,11797,177716,ROMO,Rocky Mountain NP,2006
11,9882,61323,ROMO,Rocky Mountain NP,2006
12,11999,54091,ROMO,Rocky Mountain NP,2006
1,10814,51340,ROMO,Rocky Mountain NP,2007
2,7440,51929,ROMO,Rocky Mountain NP,2007
3,14996,77306,ROMO,Rocky Mountain NP,2007
4,7249,75190,ROMO,Rocky Mountain NP,2007
5,14005,188187,ROMO,Rocky Mountain NP,2007
6,20467,468770,ROMO,Rocky Mountain NP,2007
7,40541,653885,ROMO,Rocky Mountain NP,2007
8,26780,559939,ROMO,Rocky Mountain NP,2007
9,22063,442327,ROMO,Rocky Mountain NP,2007
10,11749,204583,ROMO,Rocky Mountain NP,2007
11,8627,70953,ROMO,Rocky Mountain NP,2007
12,10760,50974,ROMO,Rocky Mountain NP,2007
1,8228,62228,ROMO,Rocky Mountain NP,2008
2,12290,58860,ROMO,Rocky Mountain NP,2008
3,12480,71260,ROMO,Rocky Mountain NP,2008
4,6661,63083,ROMO,Rocky Mountain NP,2008
5,12580,165489,ROMO,Rocky Mountain NP,2008
6,22579,420334,ROMO,Rocky Mountain NP,2008
7,22941,611760,ROMO,Rocky Mountain NP,2008
8,28929,533886,ROMO,Rocky Mountain NP,2008
9,18405,424613,ROMO,Rocky Mountain NP,2008
10,10806,213467,ROMO,Rocky Mountain NP,2008
11,8753,74914,ROMO,Rocky Mountain NP,2008
