Month,NonRecreationVisitors,RecreationVisitors,UnitCode,UnitName,Year
12,11886743,12960541,Parkwide,All NPS Park Units,2011
1,11096834,11638383,Parkwide,All NPS Park Units,2012
2,10924535,12212718,Parkwide,All NPS Park Units,2012
3,12510840,19122312,Parkwide,All NPS Park Units,2012
4,12568189,23513609,Parkwide,All NPS Park Units,2012
5,13051585,28269549,Parkwide,All NPS Park Units,2012
6,13268699,34472571,Parkwide,All NPS Park Units,2012
7,13269846,40340768,Parkwide,All NPS Park Units,2012
8,13092733,35858731,Parkwide,All NPS Park Units,2012
9,12778850,27928341,Parkwide,All NPS Park Units,2012
10,12913952,22159931,Parkwide,All NPS Park Units,2012
11,11779168,15135061,Parkwide,All NPS Park Units,2012
12,12185949,12113708,Parkwide,All NPS Park Units,2012
1,11931193,11535625,Parkwide,All NPS Park Units,2013
2,11393428,11130734,Parkwide,All NPS Park Units,2013
3,13126817,18046998,Parkwide,All NPS Park Units,2013
4,13189790,22517554,Parkwide,All NPS Park Units,2013
5,13722028,27454490,Parkwide,All NPS Park Units,2013
6,13939292,33634039,Parkwide,All NPS Park Units,2013
7,14445817,39828291,Parkwide,All NPS Park Units,2013
8,13944176,36401846,Parkwide,All NPS Park Units,2013
9,13359151,27349760,Parkwide,All NPS Park Units,2013
10,13182114,15752295,Parkwide,All NPS Park Units,2013
11,12664312,16843274,Parkwide,All NPS Park Units,2013
12,11881184,13135989,Parkwide,All NPS Park Units,2013
1,12692347,11127407,Parkwide,All NPS Park Units,2014
2,12095066,11486231,Parkwide,All NPS Park Units,2014
3,13672064,18069089,Parkwide,All NPS Park Units,2014
4,13904476,24570094,Parkwide,All NPS Park Units,2014
5,14487382,29480959,Parkwide,All NPS Park Units,2014
6,14866563,35154871,Parkwide,All NPS Park Units,2014
7,15388431,41249461,Parkwide,All NPS Park Units,2014
8,16639312,39050202,Parkwide,All NPS Park Units,2014
9,14432740,28205185,Parkwide,All NPS Park Units,2014
10,14531919,24324615,Parkwide,All NPS Park Units,2014
11,13111068,16157409,Parkwide,All NPS Park Units,2014
12,12974272,13924559,Parkwide,All NPS Park Units,2014
1,13503301,12190204,Parkwide,All NPS Park Units,2015
2,12815580,11584802,Parkwide,All NPS Park Units,2015
3,14353332,19322314,Parkwide,All NPS Park Units,2015
4,14700686,25549419,Parkwide,All NPS Park Units,2015
5,15378923,31707370,Parkwide,All NPS Park Units,2015
6,15131465,36734930,Parkwide,All NPS Park Units,2015
7,15832027,43365014,Parkwide,All NPS Park Units,2015
8,15459283,39566570,Parkwide,All NPS Park Units,2015
9,14564505,30367492,Parkwide,All NPS Park Units,2015
10,14214261,25485168,Parkwide,All NPS Park Units,2015
11,13730158,16928486,Parkwide,All NPS Park Units,2015
12,13377160,14445483,Parkwide,All NPS Park Units,2015
1,12106086,12075043,Parkwide,All NPS Park Units,2016
2,12493094,13181211,Parkwide,All NPS Park Units,2016
3,14478854,22465441,Parkwide,All NPS Park Units,2016
4,14381716,25569757,Parkwide,All NPS Park Units,2016
5,15104967,31673252,Parkwide,All NPS Park Units,2016
6,15173840,39773371,Parkwide,All NPS Park Units,2016
7,17312707,46533514,Parkwide,All NPS Park Units,2016
8,15295883,41860840,Parkwide,All NPS Park Units,2016
9,14192638,33564724,Parkwide,All NPS Park Units,2016
10,14783810,28732256,Parkwide,All NPS Park Units,2016
11,13862627,19951263,Parkwide,All NPS Park Units,2016
